Año;Trimestre;Provincia;ADSL;Cablemodem;Fibra óptica;Wireless;Otros;TConexiones;Nuevo_Acceso
2021;4;Chaco;36;63;35;8;2;144;146,88
2021;4;Chubut;46;57;10;28;19;160;163,2
2021;4;Córdoba;212;487;217;61;9;986;1005,72
2021;4;Corrientes;43;71;10;7;5;136;138,72
2021;4;Entre Ríos;70;133;23;25;13;264;269,28
2021;4;Formosa;17;15;5;16;172;225;229,5
2021;4;Jujuy;22;61;24;3;4;114;116,28
2021;4;La Pampa;8;58;20;19;1;106;108,12
2021;4;La Rioja;10;57;9;7;31;114;116,28
2021;4;Mendoza;60;72;110;25;2;269;274,38
2021;4;Misiones;42;92;22;8;8;172;175,44
2021;4;Neuquén;29;73;23;22;746;893;910,86
2021;4;Río Negro;42;44;32;17;18;153;156,06
2021;4;Salta;47;100;40;6;7;200;204
2021;4;San Juan;36;13;11;11;8;79;80,58
2021;4;San Luis;8;11;30;71;29;149;151,98
2021;4;Santa Cruz;11;23;10;4;417;465;474,3
2021;4;Santa Fe;233;444;129;44;16;866;883,32
2021;4;Santiago Del Estero;19;87;1;6;3;116;118,32
2021;4;Tierra Del Fuego;13;38;426;124;342;943;961,86
2021;4;Tucumán;98;59;79;3;486;725;739,5
2021;3;Buenos Aires;586;3;886;120;65;1660;1693,2
2021;3;Capital Federal;143;1;43;6;29;222;226,44
2021;3;Catamarca;18;12;22;2;2;56;57,12
2021;3;Chaco;38;64;28;8;2;140;142,8
2021;3;Chubut;49;56;9;23;19;156;159,12
2021;3;Córdoba;229;477;167;58;15;946;964,92
2021;3;Corrientes;45;69;8;7;5;134;136,68
2021;3;Entre Ríos;74;129;20;24;13;260;265,2
2021;3;Formosa;18;14;5;16;171;224;228,48
2021;3;Jujuy;24;61;20;3;4;112;114,24
2021;3;La Pampa;9;58;18;14;1;100;102
2021;3;La Rioja;11;55;9;7;30;112;114,24
2021;3;Mendoza;91;71;71;22;828;1083;1104,66
2021;3;Misiones;43;89;11;7;8;158;161,16
2021;3;Neuquén;30;74;16;19;640;779;794,58
2021;3;Río Negro;48;45;19;15;18;145;147,9
2021;3;Salta;49;98;36;6;6;195;198,9
2021;3;San Juan;40;13;7;11;8;79;80,58
2021;3;San Luis;8;12;27;69;29;145;147,9
2021;3;Santa Cruz;12;23;6;4;3;48;48,96
2021;3;Santa Fe;246;443;93;43;16;841;857,82
2021;3;Santiago Del Estero;20;86;909;6;3;1024;1044,48
2021;3;Tierra Del Fuego;13;37;6;16;390;462;471,24
2021;3;Tucumán;104;54;71;2;743;974;993,48
2021;2;Buenos Aires;603;3;854;114;58;1632;1664,64
2021;2;Capital Federal;149;1;41;6;29;226;230,52
2021;2;Catamarca;20;9;22;1;2;54;55,08
2021;2;Chaco;40;63;28;8;2;141;143,82
2021;2;Chubut;49;41;6;24;19;139;141,78
2021;2;Córdoba;240;468;152;56;16;932;950,64
2021;2;Corrientes;47;67;4;7;5;130;132,6
2021;2;Entre Ríos;78;125;18;24;13;258;263,16
2021;2;Formosa;20;13;4;16;171;224;228,48
2021;2;Jujuy;25;61;20;3;4;113;115,26
2021;2;La Pampa;9;57;17;13;1;97;98,94
2021;2;La Rioja;12;54;9;6;30;111;113,22
2021;2;Mendoza;92;71;45;22;827;1057;1078,14
2021;2;Misiones;45;88;10;5;8;156;159,12
2021;2;Neuquén;30;73;16;19;640;778;793,56
2021;2;Río Negro;48;44;19;15;18;144;146,88
2021;2;Salta;51;96;32;6;6;191;194,82
2021;2;San Juan;40;12;7;11;8;78;79,56
2021;2;San Luis;8;11;28;67;36;150;153
2021;2;Santa Cruz;12;23;6;4;3;48;48,96
2021;2;Santa Fe;257;432;90;44;18;841;857,82
2021;2;Santiago Del Estero;21;84;909;5;4;1023;1043,46
2021;2;Tierra Del Fuego;13;23;6;14;316;372;379,44
2021;2;Tucumán;110;48;72;2;743;975;994,5
2021;1;Buenos Aires;630;2;822;99;58;1611;1643,22
2021;1;Capital Federal;160;1;40;6;29;236;240,72
2021;1;Catamarca;26;4;19;322;2;373;380,46
2021;1;Chaco;43;61;25;8;2;139;141,78
2021;1;Chubut;46;41;3;24;19;133;135,66
2021;1;Córdoba;260;445;135;54;17;911;929,22
2021;1;Corrientes;49;63;3;6;5;126;128,52
2021;1;Entre Ríos;84;118;17;21;12;252;257,04
2021;1;Formosa;21;11;3;16;380;431;439,62
2021;1;Jujuy;32;54;17;3;4;110;112,2
2021;1;La Pampa;9;59;16;12;1;97;98,94
2021;1;La Rioja;17;35;1;250;30;333;339,66
2021;1;Mendoza;92;69;39;18;833;1051;1072,02
2021;1;Misiones;48;82;7;5;7;149;151,98
2021;1;Neuquén;30;70;14;18;632;764;779,28
2021;1;Río Negro;49;42;18;14;18;141;143,82
2021;1;Salta;55;89;31;6;6;187;190,74
2021;1;San Juan;40;12;7;11;8;78;79,56
2021;1;San Luis;8;11;28;64;36;147;149,94
2021;1;Santa Cruz;12;23;6;4;390;435;443,7
2021;1;Santa Fe;277;421;71;39;18;826;842,52
2021;1;Santiago Del Estero;26;76;570;5;4;681;694,62
2021;1;Tierra Del Fuego;13;27;6;0;316;362;369,24
2021;1;Tucumán;147;12;70;2;740;971;990,42
2020;4;Buenos Aires;636;2;805;93;58;1594;1625,88
2020;4;Capital Federal;163;1;40;5;29;238;242,76
2020;4;Catamarca;27;5;18;322;2;374;381,48
2020;4;Chaco;44;61;24;8;2;139;141,78
2020;4;Chubut;46;40;3;23;19;131;133,62
2020;4;Córdoba;267;439;126;53;18;903;921,06
2020;4;Corrientes;50;61;3;6;5;125;127,5
2020;4;Entre Ríos;86;114;16;20;12;248;252,96
2020;4;Formosa;21;11;2;15;380;429;437,58
2020;4;Jujuy;33;53;16;1;3;106;108,12
2020;4;La Pampa;9;59;15;12;1;96;97,92
2020;4;La Rioja;18;35;1;250;30;334;340,68
2020;4;Mendoza;92;68;36;18;833;1047;1067,94
2020;4;Misiones;49;80;7;4;7;147;149,94
2020;4;Neuquén;30;71;14;18;632;765;780,3
2020;4;Río Negro;49;42;18;14;18;141;143,82
2020;4;Salta;57;88;31;6;6;188;191,76
2020;4;San Juan;40;7;7;10;8;72;73,44
2020;4;San Luis;8;12;27;63;36;146;148,92
2020;4;Santa Cruz;12;20;1;5;3;41;41,82
2020;4;Santa Fe;287;415;63;39;17;821;837,42
